"X_id","Date","Line","Time","Day","Station","Code","Min.Delay","Min.Gap","Bound","Vehicle"
90,"2025-01-02T00:00:00","32 EGLINTON WEST","05:54","Thursday","EGLINTON WEST STATION","MFTO",10,15,"W",3747
527,"2025-01-06T00:00:00","32 EGLINTON WEST","10:42","Monday","EGLINTON AND CALEDONIA","MFUI",3,1,"E",7278
739,"2025-01-07T00:00:00","32 EGLINTON WEST","18:22","Tuesday","EGLINTON AND AVENUE","MFSH",10,20,"E",7305
763,"2025-01-07T00:00:00","32 EGLINTON WEST","00:34","Tuesday","EGLINTON WEST STATION","TFO",11,16,"W",7240
829,"2025-01-08T00:00:00","32 EGLINTON WEST","12:20","Wednesday","EGLINTON AND CALEDONIA","EFO",12,24,"E",7309
1174,"2025-01-10T00:00:00","32 EGLINTON WEST","22:56","Friday","EGLINTON AND EDEN VALL","EFP",12,24,"E",7220
1848,"2025-01-15T00:00:00","32 EGLINTON WEST","22:15","Wednesday","EGLINTON AND HEDDINGTO","SFDP",3,6,"W",7206
2001,"2025-01-17T00:00:00","32 EGLINTON WEST","06:56","Friday","EGLINTON AND SCOTT","EFO",12,24,"E",7324
2452,"2025-01-20T00:00:00","32 EGLINTON WEST","21:35","Monday","RENFORTH STATION","MFSAN",14,22,"S",7226
2457,"2025-01-20T00:00:00","32 EGLINTON WEST","22:12","Monday","TRETHEWAY AND JANE","EFHVA",11,22,"E",7300
2464,"2025-01-20T00:00:00","32 EGLINTON WEST","00:55","Monday","TRETHEWEY AND JANE","MFUS",22,41,"E",7246
2756,"2025-01-23T00:00:00","32 EGLINTON WEST","08:19","Thursday","EGLINTON STATION","EFO",9,18,"None",3732
2932,"2025-01-24T00:00:00","32 EGLINTON WEST","14:52","Friday","LAWRENCE AND JANE","MFSAN",10,20,"W",7237
2940,"2025-01-24T00:00:00","32 EGLINTON WEST","15:39","Friday","EGLINTON AND MARLEE","TFPD",10,20,"W",7306
3061,"2025-01-25T00:00:00","32 EGLINTON WEST","17:39","Saturday","EGLINTON AND RENFORTH","MFTO",12,24,"E",3730
3262,"2025-01-27T00:00:00","32 EGLINTON WEST","19:15","Monday","MOUNT DENNIS GARAGE","MFO",9,18,"E",7294
3445,"2025-01-28T00:00:00","32 EGLINTON WEST","20:04","Tuesday","EGLINTON AND CALEDONIA","MFWEA",0,0,"E",7261
4216,"2025-02-03T00:00:00","32 EGLINTON WEST","18:04","Monday","EGLINTON AND WESTON","EFP",20,40,"E",3737
