"delay_code","best_model","lambda","size","mu","prob","AIC_pois","AIC_nb","AIC_geom"
"EFB","nb",NA,4.6807741718799,14.045989480477,NA,9535.61486473569,NA,8378.28543662513
"EFD","nb",NA,5.75058436666638,14.0363577023242,NA,17758.6079670418,NA,16590.3025135891
"EFHVA","nb",NA,7.24319142678652,12.9856398133051,NA,8830.52077171827,NA,8940.78717015403
"EFO","nb",NA,4.86650232667707,13.6697324042321,NA,94807.0428832352,NA,85725.4759907917
"EFP","nb",NA,4.27769430999316,13.4322387197219,NA,9257.07127586133,NA,8221.96327041695
"EFRA","nb",NA,6.49050854764537,14.0141594177406,NA,5138.32625395816,NA,4999.81385141578
"MFDV","nb",NA,0.648631825818238,116.075996849443,NA,575208.758388201,NA,44009.85652264
"MFESA","nb",NA,5.47386563544128,14.954396212363,NA,1003.3877043615,NA,936.390970086404
"MFO","nb",NA,0.340126091028531,12.1004959890807,NA,26847.612844158,NA,8256.29295130779
"MFPI","nb",NA,0.68430085504301,56.5075379803248,NA,18762.2845877726,NA,2382.45447874644
"MFPR","nb",NA,0.202344652482032,80.3459794965068,NA,6584.59399933908,NA,444.183656783692
"MFS","nb",NA,0.456925797031789,20.6448059785209,NA,2343.434319783,NA,528.677429378571
"MFSAN","nb",NA,4.7736722708368,15.8527088264755,NA,12824.9477663729,NA,11156.9998784654
"MFSH","nb",NA,2.67192631487517,12.0286012885839,NA,37431.1069057723,NA,27857.2754326016
"MFTO","nb",NA,1.91417175795955,14.047398151475,NA,13159.600415584,NA,9129.28529745259
"MFUI","nb",NA,0.811071975953614,11.7338145767168,NA,17034.3047026854,NA,9539.56653514563
"MFUIR","nb",NA,0.703843529475869,10.9834920684285,NA,9029.21069871265,NA,4921.84138091519
"MFUS","nb",NA,0.0739120273683673,5.87872127133743,NA,54256.7344280181,NA,15690.1266244644
"MFVIS","nb",NA,5.53174183775022,14.1616571719151,NA,11528.004352216,NA,10718.0948888495
"MFWEA","nb",NA,0.18507199135172,29.0799021619318,NA,85036.8957498639,NA,8127.35361301382
"SFAE","nb",NA,1.64808010812945,11.8480034903192,NA,1094.68141132969,NA,774.863173004797
"SFAP","nb",NA,0.763444269111435,10.7931506591766,NA,2961.55933652036,NA,1720.94535837776
"SFDP","nb",NA,0.653021169008151,11.164366041522,NA,26897.2603553698,NA,13854.8547280427
"SFO","nb",NA,0.347366714027444,9.12627894374185,NA,20473.566771717,NA,9023.71756400564
"SFPOL","nb",NA,0.343442047603495,19.1786948528882,NA,8615.82571142465,NA,1458.39971429537
"SFSA","geom",NA,NA,NA,0.0866666679658464,286.759594480331,NA,178.854262515941
"TFCNO","nb",NA,5.54809230424924,14.7451639801685,NA,42321.2773413021,NA,38954.6997566565
"TFO","nb",NA,2.13506967134468,16.0436069845012,NA,36149.6171271207,NA,24777.3485196355
"TFOI","nb",NA,0.780552858697853,10.6665908694868,NA,15665.2128512445,NA,8915.4093382938
"TFPD","nb",NA,1.46037959888487,12.2308711339719,NA,41542.8227832622,NA,26366.4359585232
"TFPI","nb",NA,1.29276107724244,15.0612888712422,NA,3502.32736293841,NA,1477.36850327188
