delay_code,best_model,lambda,size,mu,prob,AIC_pois,AIC_nb,AIC_geom
EFB,nb,NA,5,0.066462894,NA,9535.614865,NA,8378.285437
EFD,nb,NA,6,0.066505468,NA,17758.60797,NA,16590.30251
EFHVA,nb,NA,7,0.071501913,NA,8830.520772,NA,8940.78717
EFO,nb,NA,5,0.068167569,NA,94807.04288,NA,85725.47599
EFP,nb,NA,4,0.06928932,NA,9257.071276,NA,8221.96327
EFRA,nb,NA,6,0.066603795,NA,5138.326254,NA,4999.813851
MFDV,nb,NA,1,0.00854146,NA,575208.7584,NA,44009.85652
MFESA,nb,NA,5,0.062678649,NA,1003.387704,NA,936.3909701
MFO,nb,NA,1,0.076332988,NA,26847.61284,NA,8256.292951
MFPI,nb,NA,1,0.017389025,NA,18762.28459,NA,2382.454479
MFPR,nb,NA,1,0.012293171,NA,6584.593999,NA,444.1836568
MFS,nb,NA,1,0.04620046,NA,2343.43432,NA,528.6774294
MFSAN,nb,NA,5,0.059337642,NA,12824.94777,NA,11156.99988
MFSH,nb,NA,3,0.07675421,NA,37431.10691,NA,27857.27543
MFTO,nb,NA,2,0.066456672,NA,13159.60042,NA,9129.285297
MFUI,nb,NA,1,0.078531063,NA,17034.3047,NA,9539.566535
MFUIR,nb,NA,1,0.08344813,NA,9029.210699,NA,4921.841381
MFUS,nb,NA,1,0.145375857,NA,54256.73443,NA,15690.12662
MFVIS,nb,NA,6,0.065955851,NA,11528.00435,NA,10718.09489
MFWEA,nb,NA,1,0.033244789,NA,85036.89575,NA,8127.353613
SFAE,nb,NA,2,0.077833105,NA,1094.681411,NA,774.863173
SFAP,nb,NA,1,0.084794982,NA,2961.559337,NA,1720.945358
SFDP,nb,NA,1,0.082207326,NA,26897.26036,NA,13854.85473
SFO,nb,NA,1,0.098752958,NA,20473.56677,NA,9023.717564
SFPOL,nb,NA,1,0.049557219,NA,8615.825711,NA,1458.399714
SFSA,nb,NA,1,0.086666668,NA,286.7595945,NA,178.8542625
TFCNO,nb,NA,6,0.063511565,NA,42321.27734,NA,38954.69976
TFO,nb,NA,2,0.058673026,NA,36149.61713,NA,24777.34852
TFOI,nb,NA,1,0.085714843,NA,15665.21285,NA,8915.409338
TFPD,nb,NA,1,0.075580813,NA,41542.82278,NA,26366.43596
TFPI,nb,NA,1,0.062261504,NA,3502.327363,NA,1477.368503
